  102     Fruitone CPA  200000.0    10.0     3.0     1.099999999.
  103           Fundal  500000.0    60.0     1.0      .9  100000.
  104         Funginex      30.0    21.0     5.0      .8     540.
  105          Furadan     351.0    50.0     2.0      .6      22.
  106         Fusilade       2.0    15.0     4.0      .4    5700.
  107            Glean    7000.0   160.0    30.0      .8      40.
  108             Goal        .1    35.0     8.0      .4  100000.
  109          Guthion      29.0    10.0     2.0      .7    1000.
  110          Harmony    2400.0    12.0     3.0      .8      45.
  111          Harvade    3000.0    10.0     3.0      .8      10.
  112           Hoelon        .8    37.0     8.0      .5   16000.
  113            Hyvar     700.0    60.0    20.0      .8      32.
  114           Imidan      20.0    19.0     3.0      .9     820.
  115           Isotox       7.3   400.0     2.5      .1    1100.
  116           Karate        .0    30.0     5.0      .4  180000.
  117        Karathane       4.0    20.0     8.0      .3     550.
  118           Karmex      42.0    90.0    30.0      .5     480.
  119         Kelthane       1.0    60.0     4.0      .1  180000.
  120             Kerb      15.0    60.0    20.0      .3     200.
  121          Krenite 1790000.0     8.0     4.0     1.0     150.
  122          Lannate   58000.0    30.0      .5      .6      72.
  123         Larvadex  136000.0   150.0    30.0     1.0     200.
  124           Larvin      19.1     7.0     4.0      .7     350.
  125            Lasso     240.0    15.0     3.0      .4     170.
  126            Limit      10.0    20.0     8.0      .7    1000.
  127          Lontrel  300000.0    30.0     2.0     1.0       6.
  128            Lorox      75.0    60.0    15.0      .6     400.
  129          Lorsban        .4    30.0     3.3      .7    6070.
  130          Manzate       6.0    12.0     3.0      .7    1000.
  131          Marlate        .1   120.0     6.0      .1   80000.
  132          Matacil     915.0     6.0     4.0      .9     100.
  133           Mavrik        .0    30.0     7.0      .4 1000000.
  134       Metasystox 1000000.0    10.0     3.0     1.0      10.
  135         Milogard       8.6   135.0     5.0      .5     154.
  136            Miral      69.0    34.0     5.0      .7     100.
  137            Mitac       1.0     2.0     1.0      .5    1000.
  138           Modown        .4     7.0     3.0      .4   10000.
  139          Monitor 1000000.0     6.0     4.0     1.0       5.
  140         Morestan       1.0    30.0    10.0      .5    2300.
  141          Nemacur     400.0     5.0     5.0      .7     240.
  142  Nemacur Sulfone     400.0    18.0    18.0      .7      45.
  143 Nemacur Sulfoxid     400.0    42.0    42.0      .7      40.
  144           Norton      50.0    30.0    10.0      .7     340.
  145           Octave      34.0   120.0    30.0      .5     500.
  146          Oftanol      24.0   150.0    30.0      .7     600.
  147          Orthene  818000.0     3.0     2.5      .7       2.
  148        Orthocide       5.1     2.5     9.0      .7     200.
  149             Oust      70.0    20.0    10.0      .7      78.
  150          Pay-Off        .1    21.0     5.0      .4  100000.
  151        Penncap-M      60.0     5.0     3.0      .9    5100.
  152         Phenatox       3.0     9.0     2.0      .1  100000.
  153         Phosdrin  600000.0     3.0      .6     1.0      44.
  154          Phoskil      24.0    14.0     4.0      .7    5000.
  155           Pipron      20.0    30.0    10.0      .6    5000.
  156              Pix 1000000.0  1000.0    30.0     1.0 1000000.
  157         Plantvax    1000.0    20.0    10.0      .7      95.
  158            Poast    4390.0     5.0     3.0      .7     100.
  159          Polyram        .1    20.0     7.0      .4  500000.
  160           Pounce        .0    30.0     8.0      .3  100000.
  161         Pramitol     720.0   500.0    30.0      .8     150.
  162           Prefar       5.6   120.0    30.0      .4    1000.
  163          Prelude  620000.0  1000.0    30.0      .6 1000000.
  164            Prime        .1    20.0     7.0      .4   10000.
  165          Princep       6.2    60.0     5.0      .4     130.
  166            Probe       1.5    14.0     5.0      .4    3000.
  167            Prowl        .3    90.0    30.0      .4    5000.
  168          Pursuit  200000.0    90.0    20.0      .9      10.
  169           Pydrin        .0    35.0    10.0      .3    5300.
  170          Pyramin     400.0    21.0     5.0      .9     120.
  171           Ramrod     613.0     6.0     3.0      .4      80.
  172           Reflex  700000.0   100.0    30.0     1.0      60.
  173           Rescue  709000.0    10.0     9.0      .5      20.
  174          Ridomil    8400.0    70.0    30.0      .7      50.
  175          Ro-Neet      95.0    30.0     2.0      .5     430.
  176          Ronstar        .7    60.0    20.0      .5    3200.
  177          Roundup  900000.0    47.0     2.5      .6   24000.
  178           Rovral      13.9    14.0     5.0      .4     700.
  179    Royal Slo-Gro  400000.0    30.0    10.0     1.0      20.
  180          Rubigan      14.0   360.0    30.0      .4     600.
  181           Sancap      16.0    30.0     5.0      .4     900.
  182            Savey        .5    30.0     5.0      .4    6200.
  183          Scepter  160000.0    60.0    20.0     1.0      20.
  184           Sencor    1220.0    40.0     5.0      .8      60.
  185            Sevin     120.0    10.0     7.0      .6     300.
  186           Sinbar     710.0   120.0    30.0      .7      55.
  187        Slug-Geta      24.0    30.0    10.0      .7     300.
  188          Sonalan        .3    60.0     4.0      .4    4000.
  189      Spectracide      60.0    40.0     4.0      .9    1000.
  190            Spike    2500.0   360.0    30.0      .9      80.
  191       Sprout Nip      89.0    30.0     8.0      .9     400.
  192             Stam     200.0     1.0     1.0      .7     149.
  193        Supracide     220.0     7.0     3.0      .9     400.
  194          Surflan       2.5    20.0     5.0      .4     600.
  195            Sutan      44.0    13.0     1.0      .3     400.
  196             Swat 1000000.0    17.0     5.0     1.0       7.
  197           Tackle  250000.0    14.0     5.0     1.0     113.
  198          Talstar        .1    26.0     7.0      .4  240000.
  199           Tandem       1.8    28.0     8.0      .4    5600.
  200           Tanone     200.0    40.0     2.0      .7     250.
  201           Tattoo      40.0     5.0     3.0      .9     570.
  202              TBZ      50.0   403.0    30.0      .6    2500.
  203            Temik    6000.0     7.0     7.0      .7      40.
  204    Temik Sulfone    6000.0    20.0    20.0      .7      10.
  205  Temik Sulfoxide    6000.0    30.0    30.0      .7      30.
  206          Tenoran       2.5    60.0    15.0      .4    3000.
  207        Terbutrex      22.0    42.0     5.0      .5    2000.
  208       Terrachlor        .4    21.0     4.0      .4    5000.
  209         Terraneb       8.0   130.0    30.0      .5    1650.
  210        Terrazole      50.0    20.0     3.0      .6    1000.
  211           Thimet      22.0    60.0     2.0      .6    1000.
  212          Thiodan        .3    50.0     3.0      .1   12400.
  213           Thiram      30.0    15.0     8.0      .5     670.
  214         Thistrol  200000.0    14.0     7.0     1.0      20.
  215           Tillam     100.0    14.0     4.0      .7     430.
  216             Tilt     110.0   110.0    30.0      .7    1000.
  217           Tolban        .1   140.0     1.0      .4    2240.
  218           Topsin       3.5    10.0     5.0      .4    1830.
  219           Tordon  200000.0    90.0     8.0      .6      16.
  220     Tralomethrin        .0    27.0     1.0      .4  100000.
  221          Treflan        .3    60.0     3.0      .4    8000.
  222         Tre-Hold     105.0    10.0     5.0      .4     300.
  223         Tupersan      18.0    90.0    30.0      .7     420.
  224          Turflon      23.0    46.0    15.0      .7     780.
  225           Velpar    3300.0    90.0    30.0      .9      54.
  226           Vendex        .0    90.0    30.0      .2    2300.
  227           Vernam     108.0    12.0     2.0      .8     260.
  228       Volck oils     100.0    10.0     2.0      .5    1000.
  229           Vydate  282000.0     4.0     4.0     1.0      25.
  230           Weedar  796000.0    10.0     9.0      .5      20.
  231       Weed-B-Gon  500000.0    24.0    10.0      .5      80.
  232           Wedone      50.0    10.0     9.0      .5    1000.
  233           Zolone       3.0    21.0     8.0      .7    1800.
