   89 CAORICKP.WP1   41.33 -124.03   CA ORICK PRAIRIE CR PK
   90 CAORLEAN.WP1   41.30 -123.53   CA ORLEANS
   91 CAOROVIL.WP1   39.50 -121.57   CA OROVILLE 1 WSW
   92 CAPASORO.WP1   35.60 -117.65   CA PASO ROBLES AP
   93 CAPRIEST.WP1   36.20 -120.70   CA PRIEST VALLEY
   94 CARANDSB.WP1   35.37 -117.65   CA RANDSBURG
   95 CASACRAM.WP1   38.52 -121.50   CA SACRAMENTO WB AP
   96 CASAINTH.WP1   38.50 -122.47   CA SAINT HELENA
   97 CASALINA.WP1   36.67 -121.60   CA SALINAS 3E
   98 CASANDIE.WP1   32.73 -117.17   CA SAN DIEGO WB AP
   99 CASANFRA.WP1   37.62 -122.38   CA SAN FRANCISCO WB AP
  100 CASANTAB.WP1   34.42 -119.72   CA SANTA BARBARA
  101 CASHASTA.WP1   40.72 -122.42   CA SHASTA DAM
  102 CATERMO.WP1    40.87 -120.45   CA TERMO
  103 CATHERMA.WP1   33.62 -116.17   CA THERMAL CAA AP
  104 CATIGERC.WP1   38.45 -120.48   CA TIGER CREEK PH
  105 CATRACYP.WP1   37.80 -121.58   CA TRACY PUMPING PLANT
  106 CATUSTIN.WP1   33.73 -117.78   CA TUSTIN IRVINE RANCH
  107 CAVICTOR.WP1   34.53 -117.30   CA VICTORVILLE
  108 CAWILLIT.WP1   39.42 -123.33   CA WILLITS 1NE
  109 CAWILLOW.WP1   39.52 -122.18   CA WILLOWS
  110 CAYOSEMI.WP1   37.75 -119.58   CA YOSEMITE NP
  111 CAYREKA.WP1    41.72 -122.63   CA YREKA
  112 COAKRON.WP1    40.12 -103.17   CO AKRON CAA AP
  113 COALAMOS.WP1   37.43 -105.85   CO ALAMOSA WB AP
  114 COCANON.WP1    38.43 -105.27   CO CANON CITY
  115 CODELNOR.WP1   37.67 -106.35   CO DEL NORTE
  116 COEAGLE.WP1    29.63 -106.92   CO EAGLE CAA
  117 COGRANDJ.WP1   39.12 -108.53   CO GRAND JUNCTION WBAP
  118 COGRANDL.WP1   40.12 -105.83   CO GRAND LAKE
  119 COGRANT.WP1    39.47 -105.68   CO GRANT
  120 COGREELE.WP1   40.40 -104.70   CO GREELEY UNC
  121 COGUNNIS.WP1   38.55 -106.92   CO GUNNISON
  122 COHAYDEN.WP1   40.50 -107.25   CO HAYDEN
  123 COHERMIT.WP1   37.75 -107.12   CO HERMIT 9SE
  124 COHOLLY.WP1    38.05 -102.12   CO HOLLY
  125 COHOLYOK.WP1   40.58 -102.30   CO HOLYOKE
  126 COLAJUNT.WP1   38.05 -103.52   CO LA JUNTA CAA AP
  127 COLASANI.WP1   38.08 -103.22   CO LAS ANIMAS 1N
  128 COLIMON.WP1    39.27 -103.68   CO LIMON
  129 COMAYBEL.WP1   40.52 -108.08   CO MAYBELL
  130 COMESAVE.WP1   37.20 -108.50   CO MESA VERDE NATL PRK
  131 COMONTRO.WP1   38.48 -107.88   CO MONTROSE NO 2
  132 COPARADO.WP1   38.37 -108.95   CO PARADOX 2SE
  133 COPARKER.WP1   39.52 -104.65   CO PARKER 9 E
  134 CORIFLE.WP1    39.52 -107.78   CO RIFLE
  135 COSPRING.WP1   37.38 -102.73   CO SPRINGFIELD 7WSW
  136 COSTRATT.WP1   39.30 -102.58   CO STRATTON
  137 COTACONY.WP1   38.38 -104.07   CO TACONY 10SE
  138 COTIMPAS.WP1   37.67 -103.92   CO TIMPAS 13SW
  139 COWALDEN.WP1   40.73 -106.27   CO WALDEN
  140 COWALSEN.WP1   37.63 -104.78   CO WALSENBURG
  141 CTDANBUR.WP1   41.38  -73.47   CT DANBURY
  142 CTMIDDLE.WP1   41.55  -72.72   CT MIDDLETOWN 4 W
  143 DEGEORGE.WP1   38.63  -75.47   DE GEORGETOWN 5 SW
  144 DEMIDDLE.WP1   29.42  -75.70   DE MIDDLETOWN 2 S
  145 FLAPALAC.WP1   29.73  -84.98   FL APALACHICOLA WB CTY
  146 FLAVONPA.WP1   27.60  -81.50   FL AVON PARK
  147 FLBELLEG.WP1   26.67  -80.63   FL BELLE GLADE EXP STA
  148 FLBRADEN.WP1   27.48  -82.58   FL BRADENTON
  149 FLCHIPLE.WP1   30.78  -86.52   FL CHIPLEY 3 E
  150 FLCLERMO.WP1   28.48  -81.78   FL CLERMONT 6 SSW
  151 FLCRESTV.WP1   30.78  -86.52   FL CRESTVIEW FAA AP
  152 FLCROSSC.WP1   29.63  -83.12   FL CROSS CITY 2
  153 FLEVERGL.WP1   25.85  -81.38   FL EVERGLADES
  154 FLFORTDR.WP1   27.53  -80.80   FL FORT DRUM
  155 FLFORTMY.WP1   26.58  -81.87   FL FORT MYERS WB AP
  156 FLGAINES.WP1   29.63  -82.37   FL GAINESVILLE 2 SW
  157 FLHOMEST.WP1   25.50  -80.50   FL HOMESTEAD EXP STA
  158 FLJACKSO.WP1   30.42  -81.65   FL JACKSONVILLE WB AP
  159 FLKEYWES.WP1   24.58  -81.70   FL KEY WEST WB AIRPORT
  160 FLLIVEOA.WP1   30.28  -82.97   FL LIVE OAK 2 ESE
  161 FLMILTON.WP1   30.78  -87.15   FL MILTON EXP STATION
  162 FLMONTIC.WP1   30.53  -83.87   FL MONTICELLO 2 S
  163 FLPALATK.WP1   29.65  -81.83   FL PALATKA
